"문밥","grammar"
"친구하고 놀다","to hang out with friends"
"사진을 찍다","to take photos"
"수영하다","to swim"
"외국","foreign countries"
"작다","to be small"
"신발","shoes (all kinds)"
"구두","dress shoes"
"적다","to be few"
"대화","conversation"
"빠르다","to be fast"
"느리다","to be slow"
"가깝다","to be nearby"
"멀다","to be far"
"다른 약속","conflicting obligations"
"알겠어요","I see"
"바다","sea"
"구경하다","to site-see"
"출장을 가다","to go on biz trip"
"아르바이트하다","to work a part-time job"
"멋있다","to be cool, awesome"
"아름답다","to be beautiful"
"경치","scenery"
"휴가","work vacation"
"박물관","museum"
"낚시하다","to fish"
"산책하다","to take a walk"
"가족","family"
"잘 지내다","doing well"
"생활","daily life"
"불편하다","to be inconvenient"
"왜냐하면","the reason being"
"하숙집","boarding house"
"이사하다","to move"
"돌아가다","to return"
"복잡하다","to be crowded"
"10,000원어치","10,000 won worth"
"전자사전","electronic dictionary"
"점원","salesperson"
"노트북","laptop"
"가볍다","to have light weight"
"찾다","to look for"
"보여 주다","show me"
"계속","still"
"생각하다","to think"
"물어보다","to ask"
"대답하다","to answer"
"반말","casual speech style"
"현금으로 사다","to pay with cash"
"지갑","wallet"
"마음에 들다","to like"
"카드로요","to pay by card"
"잘 맞다","to fit well"
"유명하다","to be famous"
"주무시다","to sleep (honorific)"
"병원","hospital"
"치과","dentist"
"열이나다","to run a fever"
"감기에 걸리다","to catch a cold"
"회의","meeting"
"친하다","to be close, friendly"
"거실","living room"
"교실","classroom"
"다리미질하다","to iron"
"부엌","kitchen"
"방","bedroom"
"조금 후에","in a little bit"
"준비하다","to prepare"
"데이트","a date"
"한자","Chinese characters"
"자전거","bicycle"
"축구하다","to play soccer"
"농구하다","to play basketball"
"닥구치다","to play table tennis"
"스케이트타다","to ice skate"
"기타치다","to play guitar"
"여행 비자","travel visa"
"빌리다","to borrow"
"빌려 주다","to loan"
"식사하다","to eat a meal"
"춤을 추다","to dance"
"배우러 다니다","to be learning"
