"문법","grammar"
"친구하고 놀다","to hang out with friends"
"사진을 찍다","to take photos"
"수영하다","to swim"
"외국","foreign countries"
"작다","to be small"
"신발","shoes (all kinds)"
"구두","dress shoes"
"적다","to be few"
"대화","conversation"
"빠르다","to be fast"
"느리다","to be slow"
"가깝다","to be nearby"
"멀다","to be far"
"다른 약속","conflicting obligations"
"알겠어요","I see"
"바다","sea"
"구경하다","to view, site-see"
"출장을 가다","to go on biz trip"
"아르바이트하다","to work a part-time job"
"멋있다","to be cool, awesome"
"아름답다","to be beautiful"
"경치","scenery"
"휴가","work vacation"
"박물관","museum"
"낚시하다","to fish"
"산책하다","to take a walk"
"가족","family"
"잘 지내다","doing well"
"생활","daily life"
"불편하다","to be inconvenient"
"왜냐하면","the reason being"
"하숙집","boarding house"
"이사하다","to move"
"돌아가다","to return"
"복잡하다","to be crowded"
"10,000원어치","10,000 won worth"
"전자사전","electronic dictionary"
"점원","salesperson"
"노트북","laptop"
"가볍다","to have light weight"
"찾다","to look for"
"보여 주다","show me"
"계속","still"
"생각하다","to think"
"물어보다","to ask"
"대답하다","to answer"
"반말","casual speech style"
"현금으로 사다","to pay with cash"
"지갑","wallet"
"마음에 들다","to like"
"카드로요","to pay by card"
"잘 맞다","to fit well"
"유명하다","to be famous"
"주무시다","to sleep (honorific)"
"병원","hospital"
"치과","dentist"
"열이나다","to run a fever"
"감기에 걸리다","to catch a cold"
"회의","meeting"
"친하다","to be close, friendly"
"거실","living room"
"교실","classroom"
"다리미질하다","to iron"
"부엌","kitchen"
"방","bedroom"
"조금 후에","in a little bit"
"준비하다","to prepare"
"데이트","a date"
"한자","Chinese characters"
"자전거","bicycle"
"축구하다","to play soccer"
"농구하다","to play basketball"
"닥구치다","to play table tennis"
"스케이트타다","to ice skate"
"기타치다","to play guitar"
"여행 비자","travel visa"
"빌리다","to borrow"
"빌려 주다","to loan"
"식사하다","to eat a meal"
"춤을 추다","to dance"
"배우러 다니다","to be learning"
"회사","corporation"
"자기소개서","cover letter"
"무역","trade"
"키우다","to raise"
"입양하다","to adopt"
"전공","major"
"학원","private cram school"
"여러 가지","several"
"술 한잔하다","to grab a drink"
"글쎄요","well"
"아직","yet"
"다음에","another time"
"콘서트에 가다","to go to a concert"
"소풍을 가다","to go on a picnic"
"중에서","among"
"이기다","to win"
"그 다음에","afterwards"
"둘이서만","just the two of us"
"강","river"
"호수","lake"
"계획","goal, plan"
"섬","island"
"야구장","baseball stadium"
"경치","view"
"가격","price"
"출발하다","to depart"
"일이 생기다","something came up"
"다이어트를 하다","to diet"
"살이 많이 찌다","to gain lots of weight"
"필요하다","to need"
"서류","documents"
"서류를 만들다","to prepare documents"
"이메일을 보내다","to send email"
"일을 끝내다","to finish your work"
"번역","translation"
"경기","game (sports)"
"고치다","to repair"
"교통","traffic"
"배우","actor, actress"
"이따가","in a little bit"
"소리","sound"
"창문","window"
"닫다","to shut"
"불","light"
"켜다","to turn on (light)"
"문을 열다","to open a door"
"돕다","to help"
"청소하다","to clean (a place)"
"달다","to be sweet"
"기름이 많다","to be fattening"
"시다","to be sour"
"쓰다","to write, to spend money, to be bitter"
"레몬","lemon"
"인사","ginseng"
"먼저","first"
"추천하다","to recommend"
"소개하다","to introduce (person or thing)"
"위치","location (coordinates)"
"안내하다","to guide, show"
"여러분","everyone"
"부탁하다","to ask a favor"
"간장","soy sauce"
"설탕","sugar"
"참기","sesame oil"
"마늘","garlic"
"넣다","to put"
"섞다","to mix (ingredients)"
"소고기","beef"
"굽다","to grill, to bake"
"기쁘다","to be delighted"
"식당","restaurant"
"특히","especially"
"들어가다","to go in, to enter"
"냄비","pot"
"볶다","to fry"
"익다","to be cooked"
"함께","together"
"마지막으로","finally"
"붓다","to pour"
"끓이다","to boil"
"완성","complete, finished"
"제일","the most"
"가격은 싸다","to have an affordable price"
"공항","airport"
"가격","price"
"조용하다","to be quiet"
"언제든지","at any time"
"따뜻하다","to be warm"
"시설","facilities"
"밝다","to be bright"
"체육관","gym"
"교과서","textbook"
"넓다","to be spacious"
"문화","culture"
"복습하다","to review"
"지각하다","to be late"
"도착하다","to arrive"
"동안","duration"
"가지고","with, bring"
