"Demand capturing","Marketing channels like SEM that do not create demand"
"Demand creating","Marketing channels like TV, DM that generate demand"
"Multivariate Testing (MVT)","Measuring interaction effects between independent elements to see which combination works best. Best for small tweaks/changes, as a learning tool. Requires a lot of traffic."
"Analysis of Variance (ANOVA)","Collection of statistical models that compare the means between three or more groups."
"T-test","Type of inferential static to determine whether significant difference between means of two groups."
"Fractional factorial design","When testing multiple factors, focus on main effects & lower order effects (e.g., only 2-way interactions)"
"Multiple comparisons problem","The more inferences are made, the more likely erroneous inferences are to occur"
"Full factorial design","When testing multiple factors, test all combinations to provide full interaction insights. (Requires more traffic.)"
"Valuation","Process of estimating the potential market value of a financial asset or liability."
commercial bank,"institutions that accepts deposits, offers checking account services, offers financial products like CDs, and lends money to people, businesses, and corporations"
investment bank,"institutions that invest in securities, such as stocks and currency."
retail banking,"part of commercial bank that offers services (e.g., lending, deposits) to individuals rather than institutions."
commercial banking,"part of commercial bank that offers banking services to businesses, governments, and other institutions."
secured loan,"loan with collateral (e.g., mortgage)"
unsecured loan,"loan without collateral (e.g., most credit cards)"
Department of the Treasury,"collects tax revenue, distributes government's budget, issues government bonds, and prints money. Headed by cabinet-level appointee, and implements presidential administration’s economic policies."
Internal Revenue Service,"part of the Department of the Treasury responsible for revenue service (e.g., collecting taxes, administering tax revenue law)."
U.S. Mint,part of the Department of the Treasury responsible for printing U.S. money (bills and coins)
New York Fed,"aka, the Federal Reserve Bank of New York. Largest (in terms of assets) and most influential of 12 reserve banks.Exclusive fiscal agent of U.S. Treasury (selling and buying back Treasury securities). Underground gold bullion is largest known in the world, 98% of which belongs to foreign governments. (Approx 7000 tones.)"
Federal Reserve,"acts as central bank, made up of 12 federal reserve banks. Regulates nation’s private banks and manages overall money supply. Accountable to congress. Adjusts interest rates paid by federal bonds/treasuries/etc."
Securities and Exchange Commission (SEC),"independent agency created by US government after stock market crash of 1920s to enforce and propose security laws, to protect investors and fair markets."
securities,"tradable financial asset, which can usually be any kind of financial instrument."
financial instruments,"monetary contracts between parties that can be created, traded, modified or settled. Includes debt, equity, derivatives, etc."
derivatives,"options, futures, forwards."
equity,"aka, shares"
options,contract conveying to holder the right (not obligation) to buy or sell an instrument at specified price on or before a given date
short selling,"believing an asset price will drop, this involves borrowing shares (for a fee), selling them, then repurchasing them again later in order to return to original owner"
Office of the Comptroller of the Currency (OCC),"an independent bureau of the U.S. Department of the Treasury that regulates and supervises national banks and savings programs, to ensure safety and soundness, ensure fair and equal access, and enforce AML and anti-terrorism funding."
brokerage service,"bringing together a buyer and seller in a trade for a commission, at the best possible price for both"
FCRA,Fair Credit Reporting Act. (acronym) Federal law that governs collection of credit info & access to credit reports.
CRA,"Credit Reporting Agency. Equifax, TransUnion, Experian, Innovis, as well as specialty agencies."
ChexSystems,"Specialty credit reporting agency related to banking irregularities such as overdrafts, fraudulent deposits, etc."
CBR,Credit bureau reporting. (acronym) Process for sending customer & account data to national consumer reporting agencies in an industry standard format.
Metro 2,Industry standard format for sending consumer and account info to national credit reporting agencies.
CFPB,Consumer Financial Protection Bureau. (acronym) Agency responsible for consumer protection in financial sector.
Dodd-Frank,"Law passed in 2010 in response to financial crisis of 2007-08, overhauling financial regulation and creating the Consumer Financial Protection Bureau."
Great Recession,"Period of worldwide general economic decline between 2007-09, potential worst economic downturn since Great Depression. Caused by housing bubble and vulnerabilities in global financial system."
Great Depression,"Period of severe worldwide economic depression during 1930s, potentially caused by collapse of US stock market prices in 1929."
Black Tuesday,"October 24 1929, day of largest sell-off of shared in US history. Signaled beginning of Great Depression."
